timestamp,temperature,humidity,gas_voltage
2025-12-31 23:25:10,18.2,68,0.5621
2025-12-31 23:25:10,18.2,68,0.5621
2025-12-31 23:25:31,18.2,68,0.5599
2025-12-31 23:25:31,18.2,68,0.5599
2025-12-31 23:25:31,18.2,68,0.5599
2025-12-31 23:25:51,18.2,68,0.5574
2025-12-31 23:25:51,18.2,68,0.5574
2025-12-31 23:25:51,18.2,68,0.5574
2025-12-31 23:26:11,18.2,68,0.558
2025-12-31 23:26:11,18.2,68,0.558
2025-12-31 23:26:11,18.2,68,0.558
2025-12-31 23:26:32,18.2,68,0.5561
2025-12-31 23:26:32,18.2,68,0.5561
2025-12-31 23:26:32,18.2,68,0.5561
2025-12-31 23:26:52,18.2,68,0.558
2025-12-31 23:26:52,18.2,68,0.558
2025-12-31 23:26:52,18.2,68,0.558
2025-12-31 23:27:12,18.2,68,0.553
2025-12-31 23:27:12,18.2,68,0.553
2025-12-31 23:27:12,18.2,68,0.553
2025-12-31 23:27:33,18.2,68,0.5533
2025-12-31 23:27:33,18.2,68,0.5533
2025-12-31 23:27:33,18.2,68,0.5533
2025-12-31 23:27:53,18.2,68,0.5529
2025-12-31 23:27:53,18.2,68,0.5529
2025-12-31 23:27:53,18.2,68,0.5529
2025-12-31 23:28:14,18.2,68,0.5526
2025-12-31 23:28:14,18.2,68,0.5526
2025-12-31 23:28:14,18.2,68,0.5526
2025-12-31 23:28:34,18.2,68,0.5515
2025-12-31 23:28:34,18.2,68,0.5515
2025-12-31 23:28:34,18.2,68,0.5515
2025-12-31 23:28:54,18.2,68,0.55
2025-12-31 23:28:54,18.2,68,0.55
2025-12-31 23:28:54,18.2,68,0.55
2025-12-31 23:29:15,18.2,68,0.5497
2025-12-31 23:29:15,18.2,68,0.5497
2025-12-31 23:29:15,18.2,68,0.5497
2025-12-31 23:29:35,18.2,68,0.5493
2025-12-31 23:29:35,18.2,68,0.5493
2025-12-31 23:29:35,18.2,68,0.5493
2025-12-31 23:29:55,18.2,68,0.547
2025-12-31 23:29:55,18.2,68,0.547
2025-12-31 23:29:55,18.2,68,0.547
2025-12-31 23:30:16,18.2,68,0.5477
2025-12-31 23:30:16,18.2,68,0.5477
2025-12-31 23:30:16,18.2,68,0.5477
2025-12-31 23:30:36,18.2,68,0.5435
2025-12-31 23:30:36,18.2,68,0.5435
2025-12-31 23:30:36,18.2,68,0.5435
2025-12-31 23:30:57,18.2,68,0.5443
2025-12-31 23:30:57,18.2,68,0.5443
2025-12-31 23:30:57,18.2,68,0.5443
2025-12-31 23:31:17,18.2,68,0.5429
2025-12-31 23:31:17,18.2,68,0.5429
2025-12-31 23:31:17,18.2,68,0.5429
2025-12-31 23:31:37,18.2,68,0.5433
2025-12-31 23:31:37,18.2,68,0.5433
2025-12-31 23:31:37,18.2,68,0.5433
2025-12-31 23:31:58,18.2,68,0.5436
2025-12-31 23:31:58,18.2,68,0.5436
2025-12-31 23:31:58,18.2,68,0.5436
2025-12-31 23:32:18,18.2,68,0.5391
2025-12-31 23:32:18,18.2,68,0.5391
2025-12-31 23:32:18,18.2,68,0.5391
2025-12-31 23:32:39,18.2,68,0.5385
2025-12-31 23:32:39,18.2,68,0.5385
2025-12-31 23:32:39,18.2,68,0.5385
2025-12-31 23:32:59,18.2,68,0.5398
2025-12-31 23:32:59,18.2,68,0.5398
2025-12-31 23:32:59,18.2,68,0.5398
2025-12-31 23:33:19,18.2,68,0.5395
2025-12-31 23:33:19,18.2,68,0.5395
2025-12-31 23:33:19,18.2,68,0.5395
2025-12-31 23:33:40,18.2,68,0.5386
2025-12-31 23:33:40,18.2,68,0.5386
2025-12-31 23:33:40,18.2,68,0.5386
2025-12-31 23:34:00,18.2,68,0.5369
2025-12-31 23:34:00,18.2,68,0.5369
2025-12-31 23:34:00,18.2,68,0.5369
2025-12-31 23:34:20,18.2,68,0.5374
2025-12-31 23:34:20,18.2,68,0.5374
2025-12-31 23:34:20,18.2,68,0.5374
2025-12-31 23:34:41,18.2,68,0.5363
2025-12-31 23:34:41,18.2,68,0.5363
2025-12-31 23:34:41,18.2,68,0.5363
2025-12-31 23:35:01,18.2,68,0.5348
2025-12-31 23:35:01,18.2,68,0.5348
2025-12-31 23:35:01,18.2,68,0.5348
2025-12-31 23:35:22,18.2,68,0.5339
2025-12-31 23:35:22,18.2,68,0.5339
2025-12-31 23:35:22,18.2,68,0.5339
2026-01-01 00:11:13,20.0,50.0,0.5673
2026-01-01 00:11:13,20.0,50.0,0.5673
2026-01-01 00:11:13,20.0,50.0,0.5673
2026-01-01 00:17:41,18.2,70,0.5689
2026-01-01 00:31:36,18.2,70,0.5231
2026-01-01 00:33:55,20.0,50.0,0.5211
2026-01-01 00:34:16,20.0,50.0,0.5201
2026-01-01 00:34:36,20.0,50.0,0.5189
2026-01-01 00:34:56,20.0,50.0,0.5161
2026-01-01 00:35:17,20.0,50.0,1.3394
2026-01-01 00:35:37,20.0,50.0,1.3154
2026-01-01 00:35:57,20.0,50.0,1.0995
2026-01-01 00:36:18,20.0,50.0,0.8064
2026-01-01 00:36:38,18.2,70,0.6991
2026-01-01 00:36:59,18.2,70,0.6548
2026-01-01 00:37:19,18.2,70,0.6129
2026-01-01 00:37:39,18.2,70,0.5875
2026-01-01 00:38:00,18.2,70,0.5749
2026-01-01 00:38:20,18.2,70,0.5681
2026-01-01 00:38:41,18.2,70,0.5581
2026-01-01 00:39:01,18.2,70,0.5529
2026-01-01 00:39:21,18.2,70,0.5526
2026-01-01 00:39:42,18.2,70,0.5549
2026-01-01 00:40:02,18.2,70,0.5554
2026-01-01 00:40:22,18.2,70,0.5526
2026-01-01 00:40:43,18.2,70,0.5497
2026-01-01 00:41:03,18.2,70,0.5497
2026-01-01 00:41:24,18.2,70,0.5505
2026-01-01 00:41:44,18.2,70,0.5489
